shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff92c085a0,0x7fff92c2bc07
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff92e2b4f0,0x7fff92e40fde
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff91f371e0,0x7fff91f4a6f2
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff92daa384,0x7fff92dc139f
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff98c07210,0x7fff98c2691b
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff94e38380,0x7fff94e40925
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff90f37a20,0x7fff90f3c825
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff947b33b4,0x7fff947b7fcb
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff91806ae4,0x7fff91807b2e
shared-library,"/usr/lib/system/libsystem_stats.dylib",0x7fff969a607c,0x7fff969a9667
shared-library,"/usr/lib/system/libunc.dylib",0x7fff987c08f3,0x7fff987c1b60
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff92de894c,0x7fff92ded388
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff941e5b70,0x7fff941ffffe
shared-library,"/usr/lib/libauto.dylib",0x7fff944b2cd0,0x7fff944eee80
shared-library,"/usr/lib/libc++abi.dylib",0x7fff8ce3be30,0x7fff8ce61995
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff961d518e,0x7fff961d5a22
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff959c3e3c,0x7fff959cdbff
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff96517b10,0x7fff9668ad9c
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff933e6880,0x7fff93558b25
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff95ee9d90,0x7fff95fca6ec
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff98b76f30,0x7fff98bee1b0
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff8cb371f0,0x7fff8cb9d42c
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff906552c0,0x7fff906a719d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff9a1834c0,0x7fff9a1d66c3
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff8de1edc0,0x7fff8ded1bbf
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff925d41e0,0x7fff925f7100
shared-library,"/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration",0x7fff97ae47f0,0x7fff97b3a533
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff98a63960,0x7fff98b43b10
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff8ce679f0,0x7fff8cf2feae
shared-library,"/usr/lib/libxar.1.dylib",0x7fff90f29fd4,0x7fff90f357a6
shared-library,"/usr/lib/libpam.2.dylib",0x7fff977fff4c,0x7fff97802dac
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff9552bdc0,0x7fff9552bf16
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff97805154,0x7fff97810fec
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff8f6ff3b8,0x7fff8f703065
shared-library,"/System/Library/Frameworks/NetFS.framework/Versions/A/NetFS",0x7fff95ccffc0,0x7fff95cd5ac7
shared-library,"/System/Library/PrivateFrameworks/NetAuth.framework/Versions/A/NetAuth",0x7fff8f4f1760,0x7fff8f4fb20a
shared-library,"/usr/lib/liblangid.dylib",0x7fff90f1f476,0x7fff90f1fd1e
shared-library,"/usr/lib/libCRFSuite.dylib",0x7fff925b8410,0x7fff925cfc6b
shared-library,"/System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/DataDetectorsCore",0x7fff90f8a180,0x7fff90fd72dd
shared-library,"/System/Library/PrivateFrameworks/TCC.framework/Versions/A/TCC",0x7fff8cadcd90,0x7fff8cadf6b9
shared-library,"/System/Library/Frameworks/OpenDirectory.framework/Versions/A/Frameworks/CFOpenDirectory.framework/Versions/A/CFOpenDirectory",0x7fff91c44550,0x7fff91c54b2f
shared-library,"/System/Library/Frameworks/ServiceManagement.framework/Versions/A/ServiceManagement",0x7fff90dee7a4,0x7fff90df56cd
